pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
ERPD	gunnisoni	170	ERPD37	2	740	35	5.5
ERPD	gunnisoni	171	ERPD38	2	765	38	6.5
ERPD	gunnisoni	171	ERPD39	2	715	36	5.5
ERPD	gunnisoni	171	ERPD40	2	755	36	6
ERPD	gunnisoni	171	ERPD41	2	725	34	6
ERPD	gunnisoni	171	ERPD42	2	745	34.5	6
ERPD	gunnisoni	171	ERPD44	2	685	34.5	6
GBTT	gunnisoni	176	GBTT02	2	720	35	6.5
GBTT	gunnisoni	177	GBTT03	2	575	38	6.5
GBTT	gunnisoni	177	GBTT06	2	275	27	5.5
GBTT	gunnisoni	177	GBTT11	2	695	36	7.5
GBTT	gunnisoni	178	GBTT13	2	645	38	6.5
GBTT	gunnisoni	178	GBTT14	2	210	26.5	5
GBTT	gunnisoni	178	GBTT15	2	245	26.5	5
GBTT	gunnisoni	178	GBTT18	2	305	27.5	5.5
GBTT	gunnisoni	178	GBTT19	2	195	23.5	4.5
GBTT	gunnisoni	178	GBTT20	2	725	38	7
GBTT	gunnisoni	178	GBTT21	2	580	34.5	7
GCR	gunnisoni	127	CRG-05	2	675	35.4	6.7
GCR	gunnisoni	127	CGR-08	2	595	33.5	5.3
GCR	gunnisoni	127	CRG-09	2	440	31	5
GCR	gunnisoni	141	GCC	2	595	33.5	6.5
GCR	gunnisoni	141	GCC09	2	725	38	6
GCR	gunnisoni	141	GCC10	2	605	31.5	5
GCR	gunnisoni	141	GCC14	2	580	32.5	5
PSLV	gunnisoni	219	PSLV08-02	2	420	28.5	5.5
PSLV	gunnisoni	219	PSLV08-06	2	250	23.4	3.8
PSLV	gunnisoni	219	PSLV08-09	2	190	21.8	4.3
PSLV	gunnisoni	220	PSLV08-14	2	410	29.4	4.6
PSLV	gunnisoni	220	PSLV08-17	2	425	31.1	5.6
PSLV	gunnisoni	220	PSLV08-23	2		34.3	7.1
PSLV	gunnisoni	220	PSLV08-29	2		26.5	5.4
PSLV	gunnisoni	220	PSLV08-30	2			5.1
SAM	gunnisoni	224	SAM01	2	515	33.1	6.9
TESW	gunnisoni	173	TESW02	2	720	30	5.5
TESW	gunnisoni	173	TESW03	2	750	28.5	6.5
TESW	gunnisoni	173	TESW06	2	750	30	6
TESW	gunnisoni	173	TESW07	2	700	29.5	5.5
TESW	gunnisoni	173	TESW10	2	640	28.5	5
TESW	gunnisoni	173	TESW11	2	780	30	5
TESW	gunnisoni	173	TESW12	2	250	21	4
TESW	gunnisoni	173	TESW13	2	750	29.5	5.5
TESW	gunnisoni	173	TESW14	2	700	29	5
TPRR	gunnisoni	192	TPRR01	2	330	28	5
TPRR	gunnisoni	192	TPRR03	2	380	39.5	5.5
TPRR	gunnisoni	192	TPRR04	2	570	34	7
TPRR	gunnisoni	192	TPRR08	2	410	29	6
TPRR	gunnisoni	193	TPRR18	2	550	34	6
TPRR	gunnisoni	193	TPRR20	2	330	25.5	5.5
PSLV	gunnisoni	220	PSLV08-25			25.7	4.3
ABVY	zuniensis	258	ABVY92-49	1	650		
ABVY	zuniensis	258	ABVY94-40	1	675		
ABVY	zuniensis	261	ABVY95-65	1	625		
ABVY	zuniensis	258	ABVY96-53	1	1000		
ABVY	zuniensis	258	ABVY97-57	1	775		
ABVY	zuniensis	261	ABVY98-63	1	750		
ABVY	zuniensis	261	ABVY99-69	1	800		
ABVY	zuniensis	258	ABVY101-54	1	725		
ABVY	zuniensis	261	ABVY102-62	1	1150		
ABVY	zuniensis	240	ABVY103-11	1	750		
ABVY	zuniensis	258	ABVY105-55	1	750		
ABVY	zuniensis	258	ABVY112-45	1	600		
ABVY	zuniensis	258	ABVY114-51	1	875		
ABVY	zuniensis	258	ABVY117-41	1	725		
ABVY	zuniensis	261	ABVY118-68	1	850		
ABVY	zuniensis	258	ABVY119-47	1	750		
ABVY	zuniensis	258	ABVY120-58	1	750		
ABVY	zuniensis	258	ABVY124-52	1	1050		
AGFP	zuniensis	197	AGFP01	1	835	36	8.1
BBM	zuniensis	208	BBM03	1	920	37.4	8
BBM	zuniensis	211	BBM07	1	435	33.1	7.2
BBM	zuniensis	211	BBM09	1	1070	40.1	9.1
BBM	zuniensis	211	BBM10	1	475	33	8.5
BBM	zuniensis	212	BBM14	1	460	32.6	7.5
BBM	zuniensis	212	BBM19	1	460	33	7.9
BBM	zuniensis	212	BBM20	1	395	31.7	7
BBM	zuniensis	212	BBM21	1	385	31.4	6.3
BBM	zuniensis	212	BBM22	1	440	32.3	7.2
BBM	zuniensis	213	BBM23	1	470	35.2	7.8
BBM	zuniensis	213	BBM24	1	425	33.8	7.6
BLS	zuniensis	140	BLS03	1	910	37	6.5
BLS	zuniensis	141	BLS04	1	890	30.5	8
BLS	zuniensis	143	BLS05	1	830	36.5	7
C2MS	zuniensis	204	C2MS02	1	560	33	7
CBAR	zuniensis	217	CBAR02	1	510	34	7.5
CBAR	zuniensis	217	CBAR03	1	1080	39	7.5
CBAR	zuniensis	217	CBAR04	1	550	33.5	7
CBAR	zuniensis	217	CBAR08	1	510	32	7
CBAR	zuniensis	217	CBAR09	1	710	36	8
CBAR	zuniensis	217	CBAR11	1	580	35	7.5
CBAR	zuniensis	217	CBAR14	1	1090	39	7
CBAR	zuniensis	217	CBAR15	1	460	35	7
CBAR	zuniensis	219	CBAR16	1	610	36.5	8
CBAR	zuniensis	219	CBAR18	1	570	33.5	7
CBAR	zuniensis	219	CBAR20	1	960	39	7
CBAR	zuniensis	219	CBAR22	1	610	36	7
CBAR	zuniensis	219	CBAR25	1	600	34	8
CRL	zuniensis	173	CRL01	1	485	32.2	7.1
CRL	zuniensis	173	CRL02	1	450	28.3	7
CRL	zuniensis	175	CRL12	1	350	28.8	6.8
CRL	zuniensis	175	CRL13	1	470	31	7.3
CRL	zuniensis	175	CRL14	1	525	31.1	6.6
CRL	zuniensis	176	CRL17	1	475	32.1	7
CRL	zuniensis	177	CRL18	1	245	24.9	5
CRL	zuniensis	178	CRL22	1	250	26.3	6.9
CRL	zuniensis	178	CRL23	1	465	30.7	7.3
CRL	zuniensis	178	CRL25	1	1285	40.5	8
CT2CC	zuniensis	246	CT2CC-02	1	890	37.2	
CT2CC	zuniensis	246	CT2CC-03	1	1300	40	
CT2CC	zuniensis	246	CT2CC-04	1	845	36	
CT2CC	zuniensis	246	CT2CC-05	1	1030	34	
CT2CC	zuniensis	246	CT2CC-06	1	835	33.5	6
CT2CC	zuniensis	246	CT2CC-07	1	810	36.5	
CT2CC	zuniensis	246	CT2CC-08	1	735	35	6.5
CT2CC	zuniensis	246	CT2CC-09	1	770	37	7
CT2CC	zuniensis	246	CT2CC-10	1	725	33	
CT2CC	zuniensis	246	CT2CC-11	1	935	36	
CT2CC	zuniensis	246	CT2CC-12	1	860	35.5	
CT2CC	zuniensis	246	CT2CC-18	1	780	32	
CT2CC	zuniensis	246	CT2CC-19	1	785	35	
CT2CC	zuniensis	246	CT2CC-24	1	680	33	
CT2CC	zuniensis	246	CT2CC-25	1	765	35	
CT2CC	zuniensis	246	CT2CC-26	1	670	32.5	
CT2CC	zuniensis	246	CT2CC-27	1	920	34.5	
CT2CC	zuniensis	246	CT2CC-28	1	785	35.5	
CT2CC	zuniensis	246	CT2CC-29	1	745	33.5	
CT2CC	zuniensis	246	CT2CC-30	1	830	34	
CT2CC	zuniensis	246	CT2CC-31	1	795	34.5	
CT2CC	zuniensis	246	CT2CC-35	1	680	33.5	
DCB	zuniensis	161	DCB01	1	250	26	4.5
DCB	zuniensis	161	DCB03	1	375	28.5	6.5
DCB	zuniensis	161	DCB04	1	410	30.5	7.2
